Code,Name (en-CA),Name (fr-CA)
ANSWERSERVICE,Answering Service,Répondeur
WORK,Business,Travail
CELL,Cell,Cellulaire
PAGER,Pager,Téléavertisseur
HOME,Residence,Domicile
