Code,Name (en-CA),Name (fr-CA)
SPANISHCREOLE,Spanish Creole,créole espagnol
SUSU,Susu,soso
SWAHILI,Swahili,swahili
SWEDISH,Swedish,suédois
TACTILESIGNAGE,Tactile Signage,signalisation tactile
TAGALOG,Tagalog,tagalog
TAISHAN,Chinese (Taishan),chinois (taishanais)
TAIWANESE,Chinese (Taiwanese),chinois (taïwanais)
TAMIL,Tamil,tamoul
TELUGU,Telugu,télougou
TEMNE,Temne,temne
THAI,Thai,thaï
TIBETAN,Tibetan,tibétain
TIGRE,Tigre,tigré
TIGRINYA,Tigrinya,tigrigna
TOKPISIN,Tok Pisin,tok pisin
TOUCHHAND,Touch-Hand Language,langue des signes tactiles
TSWANA,Tswana,bechouana
TULU,Tulu,tulu
TURKISH,Turkish,turc
TURKMEN,Turkmen,türkmène
TWI,Twi,twi
TWOHAND,Two-Hand Manual,alphabet bimanuel
UKRAINIAN,Ukrainian,ukrainien
URDU,Urdu,urdu
URHOBO,Urhobo,urhobo
UYGHUR,Uyghur,ouïghour
UZBEK,Uzbek,ouzbek
VIETNAMESE,Vietnamese,vietnamien
WELSH,Welsh,gallois
WESTINDIAN,West Indian dialects,dialectes antillais
WOLOF,Wolof,wolof
WU,Chinese (Wu),chinois (wu)
XHOSA,Xhosa,xhosa
YEMBA,Yemba,yemba
YIDDISH,Yiddish,yiddish
YORUBA,Yoruba,yoruba
ZULU,Zulu,zoulou
INTERPRETATION,Interpretive Services,services d'interprétation
