Honorific
Brother
Cantor
Capitaine
Captain
Cardinal
Chaplain
Councillor
Dean
Dr
Elder
Fr
Frère
Hon
Imam
M
Madam
Major
Me
Mère
Miss
Mlle
Mme
Mr
Mrs
Ms
Mx
Officer
Officier
Pandit
Pasteur
Pastor
Père
Pr
Prof
Rabbi
Rev
Rev Dr
Révérend
Sergeant
Sergent
Sergent d'état major
Sir
Sister
Sœur
Staff Sergeant
