Code,Name (en-CA),Name (fr-CA)
MEMBERSHIP,Membership,Adhésion
PROGRAM,Program,Programme
SERVICE,Service,Service
DONATION,Donation,Don
ADMISSION,Admission,Droit d'entrée
PUBLICATION,Publications,Publications
DEPOSIT,Deposit,Dépôt de garantie
FREE,None,Aucun
